Student_ID,Full_Name,Date_of_Birth,Grade_Level,,email_id
S00039,Jordan Jenkins,16-12-2018,Grade 1,,sudharaju434@gmail.com
S00040,Frank Douglas,22-08-2017,Grade 5,,sudharaju434@gmail.com
S00041,Robert Walters,28-03-2017,Grade 1,,sudharaju434@gmail.com
S00042,Timothy Russell,03-02-2010,Grade 3,,sudharaju434@gmail.com
S00043,Amanda Davis,17-01-2008,Grade 2,,sudharaju434@gmail.com
S00044,Vicki Whitaker,16-10-2013,Grade 1,,sudharaju434@gmail.com
S00045,Melanie Martinez,07-03-2011,Grade 5,,sudharaju434@gmail.com
S00046,Michael Pennington,08-03-2012,Grade 1,,sudharaju434@gmail.com
S00047,deborah robinson,19-07-2012,Grade 1,,sudharaju434@gmail.com
S00048,Jonathon Ortiz,06-27-2016,Grade 2,,sudharaju434@gmail.com
S00049,david soto,06-05-2015,Grade 2,,sudharaju434@gmail.com
S00050,Alex Evans,05-10-2006,Grade 2,,sudharaju434@gmail.com
S00051,Jesse Hayes,16-02-2015,Grade 5,,sudharaju434@gmail.com
S00052,Robert Fox,16-02-2009,Grade 4,,sudharaju434@gmail.com
S00053,Brian Meyer,08-25-2010,Grade 4,,sudharaju434@gmail.com
S00054,Thomas Morales,30-09-2017,Grade 2,,sudharaju434@gmail.com
S00055,Susan Miller,18-07-2012,Grade 4,,sudharaju434@gmail.com
S00056,Victoria Lewis,08-25-2006,Grade 3,,sudharaju434@gmail.com
S00057,Robert Foster,02-07-2012,Grade 5,,sudharaju434@gmail.com
S00058,Steven Donovan,06-06-2017,Grade 5,,sudharaju434@gmail.com
S00059,Kiara Meadows,03-02-2008,Grade 2,,sudharaju434@gmail.com
S00060,Shawn Carroll,27-08-2007,Grade 3,,sudharaju434@gmail.com
S00061,kent davenport,05-08-2012,Grade 4,,sudharaju434@gmail.com
S00062,Jason Clark,22-07-2018,Grade 3,,sudharaju434@gmail.com
S00063,jason marquez,01-08-2016,Grade 2,,sudharaju434@gmail.com
S00064,Danielle Curtis,12-04-2012,Grade 3,,sudharaju434@gmail.com
S00065,Laura Stanley,13-12-2015,Grade 2,,sudharaju434@gmail.com
S00066,Wyatt Nelson,10-01-2010,Grade 5,,sudharaju434@gmail.com
S00067,Philip Hill,02-02-2015,Grade 1,,sudharaju434@gmail.com
S00068,Robert Clark,09-09-2017,Grade 3,,sudharaju434@gmail.com
S00069,william ford,11-03-2011,Grade 5,,sudharaju434@gmail.com
S00070,Martin Bennett MD,02-01-2010,Grade 1,,sudharaju434@gmail.com
S00071,Madison Ellis,16-06-2012,Grade 4,,sudharaju434@gmail.com
S00072,Dean Cook,04-11-2014,Grade 4,,sudharaju434@gmail.com
S00073,Christopher Salinas,04-01-2011,Grade 5,,sudharaju434@gmail.com
S00074,Mr. Mark Erickson,14-03-2017,Grade 4,,sudharaju434@gmail.com
S00075,Jasmine Allen,12-10-2017,Grade 1,,sudharaju434@gmail.com
S00076,robert martin,28-06-2013,Grade 1,,sudharaju434@gmail.com
S00077,Amanda Perry,03-22-2009,Grade 2,,sudharaju434@gmail.com
S00078,Brian Sims,11-02-2012,Grade 3,,sudharaju434@gmail.com
S00079,Krista Martinez,03-05-2008,Grade 2,,sudharaju434@gmail.com
S00080,Aaron Baldwin,26-04-2013,Grade 4,,sudharaju434@gmail.com
S00081,John Underwood,01-05-2013,Grade 1,,sudharaju434@gmail.com
S00082,Shawn Martin,12-10-2016,Grade 4,,sudharaju434@gmail.com
S00083,Michael Harrison,21-07-2017,Grade 3,,sudharaju434@gmail.com
S00084,wanda eaton,14-09-2012,Grade 4,,sudharaju434@gmail.com
S00085,Taylor Juarez,07-06-2018,Grade 2,,sudharaju434@gmail.com
S00086,Michael Lee,03-24-2010,Grade 3,,sudharaju434@gmail.com
S00087,Beth Mendoza,18-01-2012,Grade 3,,sudharaju434@gmail.com
S00088,Michele James,08-08-2014,Grade 5,,sudharaju434@gmail.com
S00089,Noah Dougherty,02-06-2006,Grade 5,,sudharaju434@gmail.com
S00090,David Downs,26-11-2011,Grade 2,,sudharaju434@gmail.com
S00091,Mary Williams,19-10-2014,Grade 3,,sudharaju434@gmail.com
S00092,Jason Parker,02-15-2011,Grade 3,,sudharaju434@gmail.com
S00093,robert stewart,30-06-2009,Grade 1,,sudharaju434@gmail.com
S00094,paul ortega,15-02-2013,Grade 2,,sudharaju434@gmail.com
S00095,George Williams,01-09-2008,Grade 2,,sudharaju434@gmail.com
S00096,Dawn Hall,21-05-2007,Grade 4,,sudharaju434@gmail.com
S00097,Tyler Schroeder,25-03-2009,Grade 5,,sudharaju434@gmail.com
S00098,Courtney Taylor,03-06-2006,Grade 3,,sudharaju434@gmail.com
S00099,Jason George,04-06-2011,Grade 2,,sudharaju434@gmail.com
S00100,Anthony Villarreal,12-04-2016,Grade 3,,sudharaju434@gmail.com
S00101,William Mitchell,06-11-2008,Grade 5,,sudharaju434@gmail.com
S00102,Stacey Ramos,11-06-2011,Grade 4,,sudharaju434@gmail.com
S00103,Jacqueline Richard,19-10-2010,Grade 5,,sudharaju434@gmail.com
S00104,Allison Flores,06-10-2014,Grade 3,,sudharaju434@gmail.com
S00105,John Singleton,21-07-2008,Grade 3,,sudharaju434@gmail.com
S00106,Matthew Chandler,29-12-2006,Grade 1,,sudharaju434@gmail.com
S00107,Brian Ferguson,13-01-2017,Grade 3,,sudharaju434@gmail.com
S00108,James Orozco,10-08-2012,Grade 5,,sudharaju434@gmail.com
S00109,Sandy Lee,28-09-2017,Grade 1,,sudharaju434@gmail.com
S00110,Scott Perez,19-04-2007,Grade 5,,sudharaju434@gmail.com
S00111,Dylan Jones,01-10-2009,Grade 1,,sudharaju434@gmail.com
S00112,Barbara Taylor,26-10-2015,Grade 5,,sudharaju434@gmail.com
S00113,Brandon Garcia,15-08-2006,Grade 2,,sudharaju434@gmail.com
S00114,Kathryn Wilson,02-08-2009,Grade 2,,sudharaju434@gmail.com
S00115,Brian Lowe,29-10-2007,Grade 3,,sudharaju434@gmail.com
S00116,Julie Schneider,12-07-2016,Grade 1,,sudharaju434@gmail.com
S00117,Julie Bush,26-07-2014,Grade 5,,sudharaju434@gmail.com
S00118,Ellen Carter,31-05-2016,Grade 3,,sudharaju434@gmail.com
S00119,Kimberly Ryan,20-02-2007,Grade 1,,sudharaju434@gmail.com
S00120,Paul Ramos,25-09-2018,Grade 1,,sudharaju434@gmail.com
S00121,Benjamin Martin,27-03-2012,Grade 4,,sudharaju434@gmail.com
S00122,kristine johnston,01-02-2014,Grade 4,,sudharaju434@gmail.com
S00123,Elizabeth Morales,18-03-2018,Grade 2,,sudharaju434@gmail.com
S00124,Glenn Alexander,31-10-2015,Grade 5,,sudharaju434@gmail.com
S00125,Charles Guerrero,04-25-2017,Grade 5,,sudharaju434@gmail.com
S00126,Jeremy Rhodes,05-03-2011,Grade 3,,sudharaju434@gmail.com
S00127,Denise Evans,23-06-2010,Grade 3,,sudharaju434@gmail.com
S00128,Dr. Jamie Stewart,14-04-2007,Grade 3,,sudharaju434@gmail.com
S00129,Anthony White,30-01-2017,Grade 2,,sudharaju434@gmail.com
S00130,Eduardo Miranda,30-06-2012,Grade 1,,sudharaju434@gmail.com
S00131,Gregory Schroeder,05-04-2013,Grade 3,,sudharaju434@gmail.com
S00132,Jeremiah Frank,30-11-2015,Grade 1,,sudharaju434@gmail.com
S00133,Kathy Jordan,09-06-2016,Grade 4,,sudharaju434@gmail.com
S00134,Brett Knight,20-06-2018,Grade 4,,sudharaju434@gmail.com
S00135,Traci Johnson,28-07-2007,Grade 1,,sudharaju434@gmail.com
S00136,Mr. John Salas,18-04-2016,Grade 2,,sudharaju434@gmail.com
S00137,Cory Garcia,12-09-2011,Grade 4,,sudharaju434@gmail.com
S00138,michael mccall,17-07-2017,Grade 2,,sudharaju434@gmail.com
S00139,Jeffrey Pace,17-04-2014,Grade 5,,sudharaju434@gmail.com
S00140,Joshua Smith,01-06-2007,Grade 3,,sudharaju434@gmail.com
S00141,mary mccullough dds,19-06-2006,Grade 5,,sudharaju434@gmail.com
S00142,Brian Phillips,04-10-2009,Grade 5,,sudharaju434@gmail.com
S00143,cynthia macdonald,12-06-2008,Grade 3,,sudharaju434@gmail.com
S00144,Dylan Riddle,16-05-2016,Grade 5,,sudharaju434@gmail.com
S00145,Bonnie Mitchell,12-05-2017,Grade 3,,sudharaju434@gmail.com
S00146,Kaylee Stewart,05-10-2009,Grade 1,,sudharaju434@gmail.com
S00147,Kimberly Williams,11-01-2009,Grade 2,,sudharaju434@gmail.com
S00148,travis moreno,13-05-2015,Grade 5,,sudharaju434@gmail.com
S00149,Nicholas Pope,06-08-2015,Grade 3,,sudharaju434@gmail.com
S00150,William Griffin,09-06-2015,Grade 5,,sudharaju434@gmail.com
S00151,Kenneth Mccormick,05-26-2018,Grade 1,,sudharaju434@gmail.com
S00152,Hannah Baker,30-12-2017,Grade 5,,sudharaju434@gmail.com
S00153,Megan Noble,06-07-2014,Grade 2,,sudharaju434@gmail.com
S00154,Chris Robles,06-13-2012,Grade 4,,sudharaju434@gmail.com
S00155,Sean Baker,04-06-2006,Grade 3,,sudharaju434@gmail.com
S00156,Joy Wilkins,03-01-2010,Grade 4,,sudharaju434@gmail.com
S00157,Derrick Hall,14-12-2011,Grade 3,,sudharaju434@gmail.com
S00158,jordan compton,18-08-2017,Grade 3,,sudharaju434@gmail.com
S00159,Erika Johnson,19-03-2013,Grade 1,,sudharaju434@gmail.com
S00160,Robert Gibson,22-02-2017,Grade 5,,sudharaju434@gmail.com
S00161,Jill Valdez,07-12-2014,Grade 2,,sudharaju434@gmail.com
S00162,Robert Baxter,11-10-2017,Grade 3,,sudharaju434@gmail.com
S00163,Ryan Gordon,09-01-2007,Grade 1,,sudharaju434@gmail.com
S00164,Angela Gregory,06-01-2012,Grade 2,,sudharaju434@gmail.com
S00165,Christina Parker,11-04-2008,Grade 4,,sudharaju434@gmail.com
S00166,Melissa Williams,11-22-2011,Grade 5,,sudharaju434@gmail.com
S00167,Mrs. Jody Campbell,17-08-2016,Grade 5,,sudharaju434@gmail.com
S00168,Abigail Ochoa,25-10-2018,Grade 1,,sudharaju434@gmail.com
S00169,Susan Lloyd,05-08-2015,Grade 3,,sudharaju434@gmail.com
S00170,Krista Stewart,16-03-2014,Grade 5,,sudharaju434@gmail.com
S00171,James Davila,29-10-2017,Grade 2,,sudharaju434@gmail.com
S00172,Julia Barnes,07-09-2008,Grade 2,,sudharaju434@gmail.com
S00173,Gregory Santos,20-08-2013,Grade 3,,sudharaju434@gmail.com
S00174,Michael Smith,24-12-2015,Grade 2,,sudharaju434@gmail.com
S00175,Cynthia Torres MD,31-03-2007,Grade 4,,sudharaju434@gmail.com
S00176,Tyler Adams,29-10-2010,Grade 3,,sudharaju434@gmail.com
S00177,rachel morgan,02-15-2008,Grade 1,,sudharaju434@gmail.com
S00178,Jessica Roberson,02-08-2013,Grade 1,,sudharaju434@gmail.com
S00179,Christopher Carter,03-09-2018,Grade 3,,sudharaju434@gmail.com
S00180,Carla Allen,19-07-2016,Grade 5,,sudharaju434@gmail.com
S00181,Gregory Davis,05-13-2014,Grade 4,,sudharaju434@gmail.com
S00182,Jimmy Mcintosh,28-10-2012,Grade 1,,sudharaju434@gmail.com
S00183,John Tyler,12-01-2018,Grade 2,,sudharaju434@gmail.com
S00184,Mathew Thomas,05-29-2015,Grade 5,,sudharaju434@gmail.com
S00185,Roy Booth,16-07-2012,Grade 2,,sudharaju434@gmail.com
S00186,Holly Moore,04-01-2012,Grade 5,,sudharaju434@gmail.com
S00187,John Williams,17-07-2018,Grade 4,,sudharaju434@gmail.com
S00188,Jeffrey Barnes,24-10-2007,Grade 2,,sudharaju434@gmail.com
S00189,Morgan Diaz,02-03-2018,Grade 2,,sudharaju434@gmail.com
S00190,Daniel Baxter,04-12-2011,Grade 5,,sudharaju434@gmail.com
S00191,Samantha Jackson,30-07-2018,Grade 2,,sudharaju434@gmail.com
S00192,Christy Frazier,19-12-2011,Grade 2,,sudharaju434@gmail.com
S00193,Molly Davis,05-08-2014,Grade 4,,sudharaju434@gmail.com
S00194,barbara frederick,22-05-2018,Grade 4,,sudharaju434@gmail.com
S00195,Rita Sosa,05-01-2017,Grade 4,,sudharaju434@gmail.com
S00196,Anna Good,07-12-2011,Grade 3,,sudharaju434@gmail.com
S00197,John Mclaughlin,25-05-2014,Grade 2,,sudharaju434@gmail.com
S00198,Haley Young,04-23-2013,Grade 5,,sudharaju434@gmail.com
S00199,Renee Hunt,06-10-2012,Grade 3,,sudharaju434@gmail.com
S00200,Daniel Stewart,17-02-2012,Grade 4,,sudharaju434@gmail.com
S00201,Thomas Pugh,16-02-2013,Grade 5,,sudharaju434@gmail.com
S00202,Laura Smith,28-04-2007,Grade 5,,sudharaju434@gmail.com
S00203,Andrew Shepard,07-01-2012,Grade 1,,sudharaju434@gmail.com
S00204,April Mann,09-18-2006,Grade 4,,sudharaju434@gmail.com
S00205,Danielle Carter,23-04-2010,Grade 3,,sudharaju434@gmail.com
S00206,suzanne gilbert,28-07-2007,Grade 1,,sudharaju434@gmail.com
S00207,Samantha Phillips,23-06-2018,Grade 5,,sudharaju434@gmail.com
S00208,Troy Dudley,02-02-2014,Grade 4,,sudharaju434@gmail.com
S00209,Daniel Bennett,17-04-2010,Grade 4,,sudharaju434@gmail.com
S00210,Brenda Butler,25-07-2011,Grade 4,,sudharaju434@gmail.com
S00211,Jessica West,11-07-2013,Grade 5,,sudharaju434@gmail.com
S00212,Kristin Drake,22-10-2008,Grade 1,,sudharaju434@gmail.com
S00213,William Patterson,08-13-2014,Grade 5,,sudharaju434@gmail.com
S00214,Allison Cruz,01-01-2016,Grade 2,,sudharaju434@gmail.com
S00215,Marie Carter,09-16-2015,Grade 2,,sudharaju434@gmail.com
S00216,Stephen Vaughn,25-10-2017,Grade 3,,sudharaju434@gmail.com
S00217,Donna Taylor,22-09-2015,Grade 4,,sudharaju434@gmail.com
S00218,Lisa Cooley,02-12-2015,Grade 1,,sudharaju434@gmail.com
S00219,Jonathan Ward,01-01-2014,Grade 1,,sudharaju434@gmail.com
S00220,Wanda Sanchez,31-08-2007,Grade 1,,sudharaju434@gmail.com
S00221,christopher maynard,22-08-2016,Grade 3,,sudharaju434@gmail.com
S00222,Juan Richard,04-18-2017,Grade 3,,sudharaju434@gmail.com
S00223,bob mccall,06-30-2015,Grade 1,,sudharaju434@gmail.com
S00224,Jennifer Malone,20-10-2011,Grade 3,,sudharaju434@gmail.com
S00225,Dennis Ibarra,14-09-2009,Grade 3,,sudharaju434@gmail.com
S00226,Jessica Garcia,08-30-2007,Grade 4,,sudharaju434@gmail.com
S00227,Nicholas Wright,16-04-2008,Grade 3,,sudharaju434@gmail.com
S00228,Glenn Ashley,23-06-2017,Grade 3,,sudharaju434@gmail.com
S00229,Debbie Cooper,26-07-2015,Grade 3,,sudharaju434@gmail.com
S00230,Christopher Haynes,19-05-2011,Grade 1,,sudharaju434@gmail.com
S00231,Lisa Cross,02-15-2014,Grade 1,,sudharaju434@gmail.com
S00232,Clayton Luna,26-01-2007,Grade 4,,sudharaju434@gmail.com
S00233,Stephanie Murphy,07-16-2012,Grade 5,,sudharaju434@gmail.com
S00234,Ronald Wood,10-04-2018,Grade 3,,sudharaju434@gmail.com
S00235,Christine Dorsey,10-03-2009,Grade 3,,sudharaju434@gmail.com
S00236,Anne Waters,07-04-2006,Grade 2,,sudharaju434@gmail.com
S00237,Robert Williams,09-03-2018,Grade 1,,sudharaju434@gmail.com
S00238,Jason Fox,02-04-2013,Grade 4,,sudharaju434@gmail.com
S00239,Sean Lane,22-11-2010,Grade 3,,sudharaju434@gmail.com
S00240,Eric Baxter,17-06-2018,Grade 3,,sudharaju434@gmail.com
S00241,Maria Allen,01-27-2009,Grade 2,,sudharaju434@gmail.com
S00242,Sean Brooks,02-08-2018,Grade 4,,sudharaju434@gmail.com
S00243,Michael Shepard,02-11-2009,Grade 1,,sudharaju434@gmail.com
S00244,Taylor Davis,05-04-2007,Grade 4,,sudharaju434@gmail.com
S00245,William Norton,14-03-2009,Grade 5,,sudharaju434@gmail.com
S00246,Jeffery Smith,07-02-2015,Grade 4,,sudharaju434@gmail.com
S00247,Brittany Mccarthy,15-07-2007,Grade 4,,sudharaju434@gmail.com
S00248,Susan Turner,05-04-2014,Grade 2,,sudharaju434@gmail.com
S00249,Steven Smith,20-05-2010,Grade 2,,sudharaju434@gmail.com
S00250,William Logan,14-10-2007,Grade 5,,sudharaju434@gmail.com
S00251,Amy Simon,27-09-2014,Grade 2,,sudharaju434@gmail.com
S00252,Michelle Murphy,07-07-2012,Grade 5,,sudharaju434@gmail.com
S00253,Clifford Bentley,27-11-2016,Grade 2,,sudharaju434@gmail.com
S00254,Daniel Bender,16-05-2010,Grade 4,,sudharaju434@gmail.com
S00255,Spencer Wilson,01-01-2017,Grade 1,,sudharaju434@gmail.com
S00256,Belinda Holt,11-09-2006,Grade 2,,sudharaju434@gmail.com
S00257,Ralph Kelly,09-12-2016,Grade 1,,sudharaju434@gmail.com
S00258,Michael Levine,03-01-2017,Grade 4,,sudharaju434@gmail.com
S00259,Ashley Nicholson,06-06-2009,Grade 3,,sudharaju434@gmail.com
S00260,Caitlyn Davis,16-07-2011,Grade 4,,sudharaju434@gmail.com
S00261,Kevin Smith,30-03-2017,Grade 1,,sudharaju434@gmail.com
S00262,Kyle Luna,01-12-2012,Grade 3,,sudharaju434@gmail.com
S00263,dawn hodge,26-08-2008,Grade 5,,sudharaju434@gmail.com
S00264,Antonio Chung,09-07-2009,Grade 2,,sudharaju434@gmail.com
S00265,tracy chandler,11-08-2008,Grade 3,,sudharaju434@gmail.com
S00266,Kimberly Mercer,04-02-2019,Grade 3,,sudharaju434@gmail.com
S00267,laura mcdonald,09-10-2006,Grade 3,,sudharaju434@gmail.com
S00268,Shawn Owens,11-02-2014,Grade 1,,sudharaju434@gmail.com
S00269,Michael Flores,03-15-2013,Grade 2,,sudharaju434@gmail.com
S00270,Katherine Gill,07-05-2010,Grade 2,,sudharaju434@gmail.com
S00271,Todd Anderson,21-10-2010,Grade 1,,sudharaju434@gmail.com
S00272,Nicholas Boone,03-03-2013,Grade 3,,sudharaju434@gmail.com
S00273,Natalie Burke,07-09-2014,Grade 1,,sudharaju434@gmail.com
S00274,William Wilkerson,04-02-2013,Grade 3,,sudharaju434@gmail.com
S00275,Christopher Turner,12-06-2013,Grade 2,,sudharaju434@gmail.com
S00276,Megan Flores,25-12-2018,Grade 3,,sudharaju434@gmail.com
S00277,Cheryl Mason,21-04-2016,Grade 4,,sudharaju434@gmail.com
S00278,Matthew Mejia,03-05-2014,Grade 5,,sudharaju434@gmail.com
S00279,Mr. Michael Stewart,06-14-2008,Grade 3,,sudharaju434@gmail.com
S00280,Christopher Lopez,07-09-2011,Grade 4,,sudharaju434@gmail.com
S00281,Kimberly Woods,19-02-2018,Grade 1,,sudharaju434@gmail.com
S00282,James Fuller,29-08-2016,Grade 3,,sudharaju434@gmail.com
S00283,Keith Booker,27-09-2011,Grade 5,,sudharaju434@gmail.com
S00284,Cheryl Green,26-06-2009,Grade 4,,sudharaju434@gmail.com
S00285,Chad Wood,10-04-2012,Grade 5,,sudharaju434@gmail.com
S00286,Martha Perez,08-19-2007,Grade 3,,sudharaju434@gmail.com
S00287,Michael Price,18-11-2006,Grade 3,,sudharaju434@gmail.com
S00288,Gary Hudson,21-11-2006,Grade 4,,sudharaju434@gmail.com
S00289,Timothy Hall,01-07-2008,Grade 3,,sudharaju434@gmail.com
S00290,James Camacho,14-11-2007,Grade 5,,sudharaju434@gmail.com
S00291,Victoria Tucker,27-06-2013,Grade 4,,sudharaju434@gmail.com
S00292,danny johnson,27-03-2016,Grade 3,,sudharaju434@gmail.com
S00293,Denise Ramsey,15-11-2012,Grade 3,,sudharaju434@gmail.com
S00294,Michelle Barker,07-07-2016,Grade 5,,sudharaju434@gmail.com
S00295,Kyle Lynch,15-11-2012,Grade 4,,sudharaju434@gmail.com
S00296,tracey murphy,20-02-2014,Grade 2,,sudharaju434@gmail.com
S00297,Jeremy Ferguson,21-06-2014,Grade 4,,sudharaju434@gmail.com
S00298,Jeffery Gilmore,20-03-2017,Grade 3,,sudharaju434@gmail.com
S00299,Laura Smith,16-01-2011,Grade 1,,sudharaju434@gmail.com
S00300,Ms. Karen Thomas MD,13-06-2007,Grade 2,,sudharaju434@gmail.com
S00301,Vanessa Anderson,13-07-2014,Grade 3,,sudharaju434@gmail.com
S00302,Dr. Valerie Black,17-01-2016,Grade 1,,sudharaju434@gmail.com
S00303,Abigail Price,01-11-2006,Grade 2,,sudharaju434@gmail.com
S00304,Scott Fleming,14-04-2013,Grade 1,,sudharaju434@gmail.com
S00305,Victoria Chambers,11-07-2006,Grade 5,,sudharaju434@gmail.com
S00306,Matthew Butler,24-01-2008,Grade 2,,sudharaju434@gmail.com
S00307,Christine Daniel,10-22-2014,Grade 1,,sudharaju434@gmail.com
S00308,Grace Hardy,18-06-2007,Grade 2,,sudharaju434@gmail.com
S00309,Emma Thompson,20-07-2009,Grade 3,,sudharaju434@gmail.com
S00310,christopher henry,02-06-2016,Grade 2,,sudharaju434@gmail.com
S00311,Alexandra King,04-08-2010,Grade 4,,sudharaju434@gmail.com
S00312,Henry Rhodes,09-12-2015,Grade 2,,sudharaju434@gmail.com
S00313,Angela Davis,27-04-2012,Grade 2,,sudharaju434@gmail.com
S00314,Shane Olson,07-30-2018,Grade 3,,sudharaju434@gmail.com
S00315,martin buck,07-09-2017,Grade 1,,sudharaju434@gmail.com
S00316,Taylor Ferguson,30-07-2017,Grade 5,,sudharaju434@gmail.com
S00317,Kelsey Jones,02-04-2018,Grade 1,,sudharaju434@gmail.com
S00318,Matthew Bass,26-09-2006,Grade 5,,sudharaju434@gmail.com
S00319,Katherine Woods,05-12-2014,Grade 5,,sudharaju434@gmail.com
S00320,Tony Hill,01-01-2014,Grade 3,,sudharaju434@gmail.com
S00321,Gina Thomas,15-08-2013,Grade 4,,sudharaju434@gmail.com
S00322,bryan johnson,11-18-2013,Grade 5,,sudharaju434@gmail.com
S00323,kathleen ewing,29-07-2007,Grade 1,,sudharaju434@gmail.com
S00324,brandon ewing,17-05-2012,Grade 4,,sudharaju434@gmail.com
S00325,Robert Lopez,01-04-2012,Grade 1,,sudharaju434@gmail.com
S00326,Adrian Smith,09-02-2014,Grade 3,,sudharaju434@gmail.com
S00327,john james,05-23-2007,Grade 4,,sudharaju434@gmail.com
S00328,Janice Carter,15-12-2013,Grade 3,,sudharaju434@gmail.com
S00329,Mary Mendez,04-02-2015,Grade 5,,sudharaju434@gmail.com
S00330,Christopher Anderson,24-05-2013,Grade 4,,sudharaju434@gmail.com
S00331,Andre Bruce,10-06-2015,Grade 4,,sudharaju434@gmail.com
S00332,Cynthia Hayden,06-05-2016,Grade 3,,sudharaju434@gmail.com
S00333,Debra Zhang,18-02-2018,Grade 2,,sudharaju434@gmail.com
S00334,Jacob Thomas,17-07-2018,Grade 3,,sudharaju434@gmail.com
S00335,Jessica Kim,01-03-2018,Grade 4,,sudharaju434@gmail.com
S00336,Kristin Blake,04-11-2008,Grade 3,,sudharaju434@gmail.com
S00337,Laura Ramirez,04-03-2007,Grade 1,,sudharaju434@gmail.com
S00338,mark vega,24-02-2013,Grade 4,,sudharaju434@gmail.com
S00339,Hannah Black,25-04-2015,Grade 5,,sudharaju434@gmail.com
S00340,Daniel Santos Jr.,22-03-2016,Grade 3,,sudharaju434@gmail.com
S00341,Brittany Gonzales,03-18-2017,Grade 5,,sudharaju434@gmail.com
S00342,Roberto Lowe,15-04-2017,Grade 4,,sudharaju434@gmail.com
S00343,Aaron Edwards,30-05-2010,Grade 1,,sudharaju434@gmail.com
S00344,Nicholas Hickman,31-12-2012,Grade 3,,sudharaju434@gmail.com
S00345,Ronald Sullivan,06-12-2009,Grade 1,,sudharaju434@gmail.com
S00346,Todd Day,12-05-2018,Grade 2,,sudharaju434@gmail.com
S00347,Debbie Brooks,17-03-2018,Grade 4,,sudharaju434@gmail.com
S00348,Lauren Hansen,01-11-2009,Grade 4,,sudharaju434@gmail.com
S00349,Elizabeth Mitchell,18-03-2007,Grade 2,,sudharaju434@gmail.com
S00350,Vanessa Ryan,03-05-2009,Grade 5,,sudharaju434@gmail.com
S00351,Charlene Henry,08-09-2008,Grade 3,,sudharaju434@gmail.com
S00352,Laura Bailey,25-11-2010,Grade 1,,sudharaju434@gmail.com
S00353,Mary Schneider,25-11-2014,Grade 3,,sudharaju434@gmail.com
S00354,Shawna Johnson,29-03-2007,Grade 5,,sudharaju434@gmail.com
S00355,Elizabeth Cruz,08-06-2007,Grade 5,,sudharaju434@gmail.com
